method,rows_total,scored_rows,frequency_correlation_vs_A,MAD_vs_A,event_count,max_composite,peak_date,LOW_RESEARCH_STRESS,ELEVATED_RESEARCH_STRESS,HIGH_RESEARCH_STRESS,EXTREME_RESEARCH_STRESS,INSUFFICIENT_DATA
A_CURRENT,2452,2393,1.0,0.0,6,3.2246939666138648,2022-03-16,1622,432,265,74,59
B_63D,2452,2393,0.7269319168614461,0.5467849395464509,19,2.7947750718306965,2021-12-01,1400,719,239,35,59
C_126D,2452,2393,0.9039336476609523,0.3139788237269738,9,3.09527911972532,2021-12-01,1481,630,224,58,59
D_252D,2452,2393,1.0,0.0,6,3.2246939666138648,2022-03-16,1622,432,265,74,59
E_NATIVE_252OBS,2452,2367,0.8214224938310983,0.4154124941752133,4,1.8540379719510116,2022-03-07,1622,509,236,0,85
