context,signals,resolved,wins,losses,win_rate,avg_R,total_R,positive_years,negative_years,zero_result_years,years_with_resolved,positive_year_rate_pct,median_yearly_R,worst_year_R,best_year_R,small_N_flag
H1_ONLY_CONTEXT,7,6,3,3,50.0,1.5,9.0,2,2,0,4,50.0,1.5,-2.0,8.0,True
C3_REDUNDANT_SUPPORT,14,13,8,5,61.53846153846154,2.076923076923077,27.0,3,1,0,4,75.0,6.5,-1.0,15.0,True
H4_ONLY_CONTEXT,4,4,1,3,25.0,0.25,1.0,1,1,0,2,50.0,0.5,-1.0,2.0,True
A_WATCH_CONTEXT,21,19,11,8,57.89473684210526,1.894736842105263,36.0,5,1,0,6,83.33333333333333,6.0,-2.0,15.0,True
