event_name,source_layer,definition_column,operator,threshold,horizon,event_onsets,event_observations,all_observations,non_event_observations,event_mean_return_pct,event_median_return_pct,event_positive_share_pct,all_mean_return_pct,non_event_mean_return_pct,event_minus_all_pp,event_minus_non_event_pp
breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,1D,58,58,1916,1363,-0.0051385888693331145,0.2603075397702881,58.620689655172406,0.0674342662570901,0.06550522495060529,-0.07257285512642322,-0.0706438138199384
breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,5D,58,58,1916,1363,0.0796289362138683,0.4654040818095284,58.620689655172406,0.320000473351726,0.2638018986735914,-0.2403715371378577,-0.18417296245972312
breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,20D,58,58,1916,1363,0.7885046666643648,1.7288956415391965,67.24137931034483,1.2490521210799301,0.8725951076538954,-0.46054745441556527,-0.08409044098953052
breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1D,62,62,1916,572,0.05280944361485765,0.3302424219751243,56.451612903225815,0.0674342662570901,0.08740037372576591,-0.014624822642232466,-0.03459093011090827
breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,5D,62,62,1916,572,0.7783975523556084,1.3883588258214785,69.35483870967742,0.320000473351726,0.5052505855439524,0.4583970790038824,0.27314696681165596
breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,20D,62,62,1916,572,1.817560235430408,2.7381817167612788,72.58064516129032,1.2490521210799301,2.293314726784174,0.5685081143504778,-0.4757544913537658
vix_low,Research Context v1,macro_vix,lt,15.0,1D,0,0,1916,1916,,,,0.0674342662570901,0.0674342662570901,,
vix_low,Research Context v1,macro_vix,lt,15.0,5D,0,0,1916,1916,,,,0.320000473351726,0.320000473351726,,
vix_low,Research Context v1,macro_vix,lt,15.0,20D,0,0,1916,1916,,,,1.2490521210799301,1.2490521210799301,,
vix_elevated,Research Context v1,macro_vix,ge,25.0,1D,0,0,1916,1916,,,,0.0674342662570901,0.0674342662570901,,
vix_elevated,Research Context v1,macro_vix,ge,25.0,5D,0,0,1916,1916,,,,0.320000473351726,0.320000473351726,,
vix_elevated,Research Context v1,macro_vix,ge,25.0,20D,0,0,1916,1916,,,,1.2490521210799301,1.2490521210799301,,
financial_stress_elevated,Research Context v1,macro_financial_stress_composite,gt,0.0,1D,0,0,1916,1916,,,,0.0674342662570901,0.0674342662570901,,
financial_stress_elevated,Research Context v1,macro_financial_stress_composite,gt,0.0,5D,0,0,1916,1916,,,,0.320000473351726,0.320000473351726,,
financial_stress_elevated,Research Context v1,macro_financial_stress_composite,gt,0.0,20D,0,0,1916,1916,,,,1.2490521210799301,1.2490521210799301,,
sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,1D,39,39,1916,1333,0.2754689311523194,0.1375725554363605,61.53846153846154,0.0674342662570901,0.03135488241798674,0.20803466489522932,0.24411404873433268
sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,5D,39,39,1916,1333,0.6419014000212306,0.9689526002210069,61.53846153846154,0.320000473351726,0.21104252225102896,0.3219009266695047,0.4308588777702017
sentiment_bearish,Sentiment Engine v1,sentiment_unified_sentiment_score,lt,40.0,20D,39,39,1916,1333,1.2241322216514483,2.7757643318259806,74.35897435897436,1.2490521210799301,0.7921197829963016,-0.024919899428481676,0.43201243865514677
sentiment_bullish,Sentiment Engine v1,sentiment_unified_sentiment_score,gt,60.0,1D,50,50,1916,1050,-0.040681469716257856,0.03630389721321903,56.00000000000001,0.0674342662570901,0.08163979719812256,-0.10811573597334796,-0.12232126691438042
sentiment_bullish,Sentiment Engine v1,sentiment_unified_sentiment_score,gt,60.0,5D,50,50,1916,1050,0.2552800598658642,0.30991527641015537,56.00000000000001,0.320000473351726,0.4274440433513023,-0.06472041348586174,-0.1721639834854381
sentiment_bullish,Sentiment Engine v1,sentiment_unified_sentiment_score,gt,60.0,20D,50,50,1916,1050,-0.01230559060949177,0.8175914105961413,62.0,1.2490521210799301,1.5913179132742679,-1.261357711689422,-1.6036235038837596
