asof_date,universe_count,price_eligible_count,missing_price_count,coverage_pct,coverage_quality,advances,declines,unchanged,net_advances,advance_decline_ratio,pct_advancing,pct_declining,cumulative_ad_line,point_in_time_reconstructed,membership_source,membership_quality,cross_validated,pit_perfect,price_source,price_quality,price_pit_perfect,research_only,decision_engine_ready,trading_signal,forecast,record_id
2023-10-20,503,479,24,95.2286,GOOD,65,412,2,-347,0.157767,13.569937,86.012526,20780.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231020
2023-10-23,503,479,24,95.2286,GOOD,132,345,2,-213,0.382609,27.557411,72.025052,20567.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231023
2023-10-24,503,479,24,95.2286,GOOD,329,147,3,182,2.238095,68.68476,30.688935,20749.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231024
2023-10-25,503,479,24,95.2286,GOOD,123,354,2,-231,0.347458,25.678497,73.903967,20518.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231025
2023-10-26,503,479,24,95.2286,GOOD,230,247,2,-17,0.931174,48.016701,51.565762,20501.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231026
2023-10-27,503,479,24,95.2286,GOOD,85,393,1,-308,0.216285,17.745303,82.045929,20193.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231027
2023-10-30,503,479,24,95.2286,GOOD,382,94,3,288,4.06383,79.749478,19.624217,20481.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231030
2023-10-31,503,479,24,95.2286,GOOD,393,84,2,309,4.678571,82.045929,17.536534,20790.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231031
2023-11-01,503,479,24,95.2286,GOOD,298,180,1,118,1.655556,62.212944,37.578288,20908.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231101
2023-11-02,503,479,24,95.2286,GOOD,424,52,3,372,8.153846,88.517745,10.85595,21280.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231102
2023-11-03,503,479,24,95.2286,GOOD,396,80,3,316,4.95,82.672234,16.701461,21596.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231103
2023-11-06,503,479,24,95.2286,GOOD,154,324,1,-170,0.475309,32.150313,67.640919,21426.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231106
2023-11-07,503,479,24,95.2286,GOOD,202,276,1,-74,0.731884,42.17119,57.620042,21352.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231107
2023-11-08,503,479,24,95.2286,GOOD,217,259,3,-42,0.837838,45.302714,54.070981,21310.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231108
2023-11-09,503,479,24,95.2286,GOOD,117,362,0,-245,0.323204,24.425887,75.574113,21065.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231109
2023-11-10,503,479,24,95.2286,GOOD,415,61,3,354,6.803279,86.638831,12.734864,21419.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231110
2023-11-13,503,479,24,95.2286,GOOD,186,290,3,-104,0.641379,38.830898,60.542797,21315.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231113
2023-11-14,503,479,24,95.2286,GOOD,443,36,0,407,12.305556,92.484342,7.515658,21722.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231114
2023-11-15,503,479,24,95.2286,GOOD,289,189,1,100,1.529101,60.334029,39.457203,21822.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231115
2023-11-16,503,479,24,95.2286,GOOD,219,260,0,-41,0.842308,45.720251,54.279749,21781.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231116
2023-11-17,503,479,24,95.2286,GOOD,310,165,4,145,1.878788,64.718163,34.446764,21926.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231117
2023-11-20,503,479,24,95.2286,GOOD,326,150,3,176,2.173333,68.058455,31.31524,22102.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231120
