record_id,indicator,agency,release_date,reference_period,point_in_time_safe,quality_issues,historical_consensus_available
a004abb2a2e71d0e,NFP,BLS,2021-10-08,September 2021,True,,False
0e4fd22b34876c32,UNEMPLOYMENT_RATE,BLS,2021-10-08,September 2021,True,,False
88a54dbd8ece8375,CORE_CPI,BLS,2021-10-13,September 2021,True,,False
ce7ac3f4c0decc60,CPI,BLS,2021-10-13,September 2021,True,,False
3c009c7cab326459,INITIAL_JOBLESS_CLAIMS,DOL,2021-10-14,"Week ending October 9, 2021",True,,False
e4445d0ec1707341,INITIAL_JOBLESS_CLAIMS,DOL,2021-10-21,"Week ending October 16, 2021",True,,False
68a67bccce416a08,INITIAL_JOBLESS_CLAIMS,DOL,2021-10-28,"Week ending October 23, 2021",True,,False
cd4bc9620cb80b6d,ISM_MANUFACTURING_PMI,ISM,2021-11-01,November 2021,True,,False
54f6e238562ed453,INITIAL_JOBLESS_CLAIMS,DOL,2021-11-04,"Week ending October 30, 2021",True,,False
0acf4e9f0d9366ac,NFP,BLS,2021-11-05,October 2021,True,,False
c8156e4dcb04639f,UNEMPLOYMENT_RATE,BLS,2021-11-05,October 2021,True,,False
d336702dd11c87a9,CORE_CPI,BLS,2021-11-10,October 2021,True,,False
2e94d2e02b7fb2bf,CPI,BLS,2021-11-10,October 2021,True,,False
6a73af4f22c08d56,INITIAL_JOBLESS_CLAIMS,DOL,2021-11-10,"Week ending November 6, 2021",True,,False
417853fc0ccb4ac0,INITIAL_JOBLESS_CLAIMS,DOL,2021-11-18,"Week ending November 13, 2021",True,,False
0bead19fbf7afd54,INITIAL_JOBLESS_CLAIMS,DOL,2021-11-24,"Week ending November 20, 2021",True,,False
5352ab27bb8feadd,ISM_MANUFACTURING_PMI,ISM,2021-12-01,December 2021,True,,False
f669a8f4257ad93d,INITIAL_JOBLESS_CLAIMS,DOL,2021-12-02,"Week ending November 27, 2021",True,,False
8ed059fc89a9d607,NFP,BLS,2021-12-03,November 2021,True,,False
ec10daa2692fad73,UNEMPLOYMENT_RATE,BLS,2021-12-03,November 2021,True,,False
