coverage_threshold_pct,rows,row_share_pct,mean_coverage_pct,positive_state_share_pct,negative_state_share_pct,balanced_state_share_pct,mean_net_advances,mean_net_advances_20d
75.0,1916,100.0,92.1874,70.1461,28.8622,0.9916,19.01618,372.072219
80.0,1916,100.0,92.1874,70.1461,28.8622,0.9916,19.01618,372.072219
85.0,1735,90.5532,93.0609,69.7406,30.2594,0.0,16.282997,329.862248
90.0,1169,61.0125,95.5321,64.1574,35.8426,0.0,13.578272,271.431993
95.0,741,38.6743,97.0362,69.7706,30.2294,0.0,19.159244,387.855601
100.0,1,0.0522,100.0,100.0,0.0,0.0,-50.0,506.0
