study_date,event_name,source_layer,definition_column,operator,threshold,forward_return_1D_pct,forward_return_5D_pct,forward_return_20D_pct
2023-09-21,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.22955984771939608,-0.6997645424364873,-1.2009237875288736
2023-11-07,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.10049156221052513,2.679537080840011,3.9046397414854273
2024-04-11,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-1.455068829580164,-3.614883061325591,0.28889875019664224
2024-06-07,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.25808546645145203,1.5823829775731824,4.301293550438534
2024-06-25,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.15724312002203256,0.726052005842992,-0.7710296268428674
2024-10-25,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.26514435020339455,-1.3656796157722972,2.7757643318259806
2024-11-12,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.023222772482434095,-1.119825589308454,1.6744630774237157
2024-12-10,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.8165786048233592,0.2601481484358237,-3.4444608420925893
2025-02-21,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.49691065044024096,-0.9750310396601236,-5.746921003760486
2025-03-04,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,1.1159277893187936,-3.5665408756773376,-2.510839638586604
2025-03-18,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,1.0798495567894584,2.8851211219512507,-3.8832318852780046
2025-03-28,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.5538521570653376,-9.081980250687572,-0.9351460856806715
2025-04-10,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,1.8092095201708958,0.2780989392310529,7.438432932312522
2025-06-13,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.9392659896159117,0.8064237447853895,4.463625234716417
2025-07-31,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-1.5992133140148468,0.009620220054262774,2.5628605127400172
2025-08-11,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,1.134543584661274,1.1877351310743078,2.183427558139517
2025-08-20,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.40041815293089256,1.3386970793805686,3.6927502777595933
2025-09-16,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.09701681605103207,0.7592247641723393,0.568361712864518
2025-09-24,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.500906134312662,1.103198388944171,0.925428790907068
2025-10-09,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-2.711167321141361,-1.5744366642126084,-0.2195961070083352
2025-10-29,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.9904812439519239,-1.3685302249274556,-1.1316880301543542
2025-11-17,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.8256436690967983,0.4902270719503221,1.916093381268591
2026-03-10,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,-0.08376012017449197,-0.9642458122279929,0.019613390127681818
2026-05-07,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.8425703533400997,2.2369894161615944,0.6355414047581887
2026-05-29,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,0.26252961308912415,-2.5899507748118222,-1.842068291453669
2026-07-31,breadth_negative_20d,Market Breadth Analyzer v1,breadth_research_state,eq,NEGATIVE_BREADTH,1.479091100582064,3.5771686283289306,2.9645907245132275
2019-01-31,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.08986100931438479,0.07211090941363629,3.6829200160274578
2019-05-16,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.5837333350761975,-1.8801829017535798,0.37060938477042615
2019-06-05,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.6135586748687638,1.8997642517953217,6.0035798481501645
2019-08-08,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.661660635492356,-3.0798916141928645,1.3825264655529246
2019-08-19,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.7914727601131322,-1.5484076768206512,2.806425241351551
2019-08-28,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.2687291793508804,3.0492344155491624,3.10533382275191
2019-10-04,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.4478294673592398,0.6185619190049785,3.892259916587215
2019-10-15,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.19995427986508885,0.01035019096917722,3.209960958590674
2020-04-08,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.4487410153376512,1.8025610626781985,4.771306041112866
2020-05-14,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.39263632504382695,3.3658197989701932,6.619108101446103
2020-05-29,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.3751234813537785,4.914738320576606,-1.1582266289233534
2020-07-08,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.5643606159361103,1.7861574109944156,4.9789611488659125
2020-08-21,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.0043718303008653,3.263022657871306,-3.4175563270301246
2020-09-16,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.8412365876402483,-4.388436202379364,3.047710433002404
2020-10-02,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.797270867614209,3.844200360361194,-2.343193588860415
2020-12-24,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.8722529021144565,-0.06508552958537361,3.957809386688882
2021-01-06,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.4847403800101189,1.6461550817427062,3.2976383272405707
2021-01-28,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.9311475173124593,2.227400208907193,0.6276111788817484
2021-06-21,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.5124491902218642,1.5579430838024821,2.3260332140211393
2021-09-16,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.9110872450405094,-0.5536746472478371,-0.793299455155072
2021-10-15,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.337476955709759,1.6444575874765777,4.729646057610881
2021-11-29,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.896131033450521,-1.3661956747818005,2.8157352328662233
2021-12-22,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.6223699921661829,1.7495767295607312,-6.3582731501769185
2022-02-25,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.24426034406476171,-1.2721605236129307,3.612834770806317
2022-03-18,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.043466036210393355,1.791122338348039,-1.600453805985902
2022-05-25,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.9883256167224195,4.97872046412815,-1.6837028540067633
2022-07-15,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.8363571580831342,2.548948864230627,10.794013184059171
2022-10-24,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.6266654579669915,1.9655835624558637,4.018598544867036
2023-01-06,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.07676325452631305,2.67029194983055,5.54545723496338
2023-03-29,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.5715269388667954,1.553445254580721,2.6699381921710064
2023-06-02,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.20035816359177394,0.3850612077542559,4.044949918440599
2023-08-11,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.5750475751703066,-2.1133241759744292,0.5244152120663648
2023-09-01,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.4194177587506065,-0.6269154202119598,-5.0352405421235975
2023-09-14,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.2159612938677844,-3.886708260874039,-3.4514268496696143
2023-10-31,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,1.0505999486313922,4.401261069226314,8.507327246253361
2023-11-10,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.08358389332403515,2.2372459914456355,4.692829744983973
2024-05-08,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.5090947698625836,2.3224295740312817,3.18620963846441
2024-06-24,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.39335900157368986,0.499639785402084,1.9800420139823194
2024-07-10,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.8763028841120457,-0.8100969921949974,-7.7106333647881335
2024-10-31,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.4092509543626166,4.691126785466415,5.7301295482098835
2024-11-21,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.3467959094991535,1.4065221270564976,-0.300230863473383
2025-01-16,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.9991058969353706,2.7605020924906576,2.9860180439077677
2025-02-24,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-0.46797309154723576,-2.231726656186017,-3.6047328087786767
2025-03-05,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.7819007085749905,-4.164735453135815,-2.9380548042881927
2025-03-17,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.0653512117636543,1.6290352472233982,-4.742629174114055
2025-03-27,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-1.973722070834405,-5.212961107124514,-2.9525898980771625
2025-04-09,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,-3.4607579584726933,-3.3205613127230804,3.7940963324904597
2025-04-24,breadth_positive_20d,Market Breadth Analyzer v1,breadth_research_state,eq,POSITIVE_BREADTH,0.7373133469998461,2.176392387692161,6.5133040186118984
