event_name,event_layer,horizon,observations,control_count,controls,event_coefficient_pct,baseline_r2,controlled_r2,incremental_r2,interpretation
sentiment_bearish,sentiment,5D,1896,6,technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,0.16027962515533264,0.025488160590668718,0.0255673204876512,7.91598969824836e-05,descriptive controlled association only; not predictive and not causal
sentiment_bearish,sentiment,20D,1896,6,technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,-0.33644256318653026,0.08771549992486793,0.0878085130848133,9.301315994536541e-05,descriptive controlled association only; not predictive and not causal
sentiment_bullish,sentiment,1D,1896,6,technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,-0.0871204870405386,0.006042309563858095,0.00617094838600063,0.00012863882214253497,descriptive controlled association only; not predictive and not causal
sentiment_bullish,sentiment,5D,1896,6,technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,0.05963506007484465,0.025488160590668718,0.02550301792678933,1.4857336120610576e-05,descriptive controlled association only; not predictive and not causal
sentiment_bullish,sentiment,20D,1896,6,technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,-0.8266145165862983,0.08771549992486793,0.08847673296686187,0.0007612330419939362,descriptive controlled association only; not predictive and not causal
technical_drawdown_ge_5,technical,1D,1896,3,sentiment_unified_sentiment_score|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,-0.7663520714482698,0.003674785638992706,0.008715058788741348,0.005040273149748642,descriptive controlled association only; not predictive and not causal
technical_drawdown_ge_5,technical,5D,1896,3,sentiment_unified_sentiment_score|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,0.04111276474645426,0.021973096441678663,0.021976672107546058,3.5756658673946617e-06,descriptive controlled association only; not predictive and not causal
technical_drawdown_ge_5,technical,20D,1896,3,sentiment_unified_sentiment_score|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,-0.05616394159019669,0.05235306893853697,0.05235484841672655,1.779478189578576e-06,descriptive controlled association only; not predictive and not causal
technical_drawdown_ge_10,technical,1D,1896,3,sentiment_unified_sentiment_score|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,0.7403164822529441,0.003674785638992706,0.005565103715049036,0.0018903180760563298,descriptive controlled association only; not predictive and not causal
technical_drawdown_ge_10,technical,5D,1896,3,sentiment_unified_sentiment_score|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,0.7530142605946842,0.021973096441678663,0.022455169224994354,0.00048207278331569015,descriptive controlled association only; not predictive and not causal
technical_drawdown_ge_10,technical,20D,1896,3,sentiment_unified_sentiment_score|liq_NET_LIQUIDITY_PROXY_MILLIONS|liquidity_20d_change_pct,-0.4089380895925217,0.05235306893853697,0.052390982561547395,3.791362301042156e-05,descriptive controlled association only; not predictive and not causal
liquidity_20d_change_positive_ge_5,liquidity,1D,1896,5,sentiment_unified_sentiment_score|technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct,-0.9005112421065988,0.004396697561765195,0.006911615199941767,0.0025149176381765725,descriptive controlled association only; not predictive and not causal
liquidity_20d_change_positive_ge_5,liquidity,5D,1896,5,sentiment_unified_sentiment_score|technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct,1.0898397861413356,0.016281519614774198,0.017189501044748035,0.0009079814299738365,descriptive controlled association only; not predictive and not causal
liquidity_20d_change_positive_ge_5,liquidity,20D,1896,5,sentiment_unified_sentiment_score|technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct,2.1224742128820298,0.0842851478149127,0.08520350249455755,0.0009183546796448505,descriptive controlled association only; not predictive and not causal
liquidity_20d_change_negative_le_5,liquidity,1D,1896,5,sentiment_unified_sentiment_score|technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct,-0.46101274415740756,0.004396697561765195,0.00534973254688631,0.0009530349851211151,descriptive controlled association only; not predictive and not causal
liquidity_20d_change_negative_le_5,liquidity,5D,1896,5,sentiment_unified_sentiment_score|technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct,0.1445728192386896,0.016281519614774198,0.016304622299006866,2.3102684232667592e-05,descriptive controlled association only; not predictive and not causal
liquidity_20d_change_negative_le_5,liquidity,20D,1896,5,sentiment_unified_sentiment_score|technical_drawdown_pct|technical_RSI14|technical_ATR14_pct|technical_ROC20_pct,-0.9773938206453454,0.0842851478149127,0.08456672811591437,0.00028158030100167153,descriptive controlled association only; not predictive and not causal
